City or municipality,Province,Class
Palapag,Northern Samar,Mun
Pambujan,Northern Samar,Mun
Rosario,Northern Samar,Mun
San Antonio,Northern Samar,Mun
San Isidro,Northern Samar,Mun
San Jose,Northern Samar,Mun
San Roque,Northern Samar,Mun
San Vicente,Northern Samar,Mun
Silvino Lobos,Northern Samar,Mun
Victoria,Northern Samar,Mun
Aliaga,Nueva Ecija,Mun
Bongabon,Nueva Ecija,Mun
Cabanatuan*,Nueva Ecija,CC
Cabiao,Nueva Ecija,Mun
Carranglan,Nueva Ecija,Mun
Cuyapo,Nueva Ecija,Mun
Gabaldon,Nueva Ecija,Mun
Gapan,Nueva Ecija,CC
General Mamerto Natividad,Nueva Ecija,Mun
General Tinio,Nueva Ecija,Mun
Guimba,Nueva Ecija,Mun
Jaen,Nueva Ecija,Mun
Laur,Nueva Ecija,Mun
Licab,Nueva Ecija,Mun
Llanera,Nueva Ecija,Mun
Lupao,Nueva Ecija,Mun
Muñoz,Nueva Ecija,CC
Nampicuan,Nueva Ecija,Mun
Palayan,Nueva Ecija,CC
Pantabangan,Nueva Ecija,Mun
Peñaranda,Nueva Ecija,Mun
Quezon,Nueva Ecija,Mun
Rizal,Nueva Ecija,Mun
San Antonio,Nueva Ecija,Mun
San Isidro,Nueva Ecija,Mun
San Jose,Nueva Ecija,CC
San Leonardo,Nueva Ecija,Mun
Santa Rosa,Nueva Ecija,Mun
Santo Domingo,Nueva Ecija,Mun
Talavera,Nueva Ecija,Mun
Talugtug,Nueva Ecija,Mun
Zaragoza,Nueva Ecija,Mun
Alfonso Castañeda,Nueva Vizcaya,Mun
Ambaguio,Nueva Vizcaya,Mun
Aritao,Nueva Vizcaya,Mun
Bagabag,Nueva Vizcaya,Mun
Bambang,Nueva Vizcaya,Mun
Bayombong*,Nueva Vizcaya,Mun
Diadi,Nueva Vizcaya,Mun
Dupax del Norte,Nueva Vizcaya,Mun
Dupax del Sur,Nueva Vizcaya,Mun
Kasibu,Nueva Vizcaya,Mun
Kayapa,Nueva Vizcaya,Mun
Quezon,Nueva Vizcaya,Mun
Santa Fe,Nueva Vizcaya,Mun
Solano,Nueva Vizcaya,Mun
Villaverde,Nueva Vizcaya,Mun
Abra de Ilog,Occidental Mindoro,Mun
Calintaan,Occidental Mindoro,Mun
Looc,Occidental Mindoro,Mun
Lubang,Occidental Mindoro,Mun
Magsaysay,Occidental Mindoro,Mun
Mamburao,Occidental Mindoro,Mun
Paluan,Occidental Mindoro,Mun
Rizal,Occidental Mindoro,Mun
Sablayan,Occidental Mindoro,Mun
San Jose*,Occidental Mindoro,Mun
Santa Cruz,Occidental Mindoro,Mun
Baco,Oriental Mindoro,Mun
Bansud,Oriental Mindoro,Mun
Bongabong,Oriental Mindoro,Mun
Bulalacao,Oriental Mindoro,Mun
Calapan*,Oriental Mindoro,CC
Gloria,Oriental Mindoro,Mun
Mansalay,Oriental Mindoro,Mun
Naujan,Oriental Mindoro,Mun
Pinamalayan,Oriental Mindoro,Mun
Pola,Oriental Mindoro,Mun
Puerto Galera,Oriental Mindoro,Mun
Roxas,Oriental Mindoro,Mun
San Teodoro,Oriental Mindoro,Mun
Socorro,Oriental Mindoro,Mun
Victoria,Oriental Mindoro,Mun
Aborlan,Palawan,Mun
Agutaya,Palawan,Mun
Araceli,Palawan,Mun
Balabac,Palawan,Mun
Bataraza,Palawan,Mun
Brooke's Point,Palawan,Mun
Busuanga,Palawan,Mun
Cagayancillo,Palawan,Mun
Coron,Palawan,Mun
Culion,Palawan,Mun
Cuyo,Palawan,Mun
Dumaran,Palawan,Mun
El Nido,Palawan,Mun
Kalayaan,Palawan,Mun
Linapacan,Palawan,Mun
Magsaysay,Palawan,Mun
Narra,Palawan,Mun
Puerto Princesa*,Palawan,HUC
Quezon,Palawan,Mun
Rizal,Palawan,Mun
Roxas,Palawan,Mun
San Vicente,Palawan,Mun
Sofronio Española,Palawan,Mun
Taytay,Palawan,Mun
Angeles*,Pampanga,HUC
Apalit,Pampanga,Mun
Arayat,Pampanga,Mun
Bacolor,Pampanga,Mun
Candaba,Pampanga,Mun
Floridablanca,Pampanga,Mun
Guagua,Pampanga,Mun
Lubao,Pampanga,Mun
Mabalacat,Pampanga,CC
Macabebe,Pampanga,Mun
Magalang,Pampanga,Mun
Masantol,Pampanga,Mun
Mexico,Pampanga,Mun
Minalin,Pampanga,Mun
Porac,Pampanga,Mun
San Fernando,Pampanga,CC
San Luis,Pampanga,Mun
San Simon,Pampanga,Mun
Santa Ana,Pampanga,Mun
Santa Rita,Pampanga,Mun
Santo Tomas,Pampanga,Mun
Sasmuan,Pampanga,Mun
Agno,Pangasinan,Mun
Aguilar,Pangasinan,Mun
Alaminos,Pangasinan,CC
Alcala,Pangasinan,Mun
Anda,Pangasinan,Mun
Asingan,Pangasinan,Mun
Balungao,Pangasinan,Mun
Bani,Pangasinan,Mun
Basista,Pangasinan,Mun
Bautista,Pangasinan,Mun
Bayambang,Pangasinan,Mun
Binalonan,Pangasinan,Mun
Binmaley,Pangasinan,Mun
Bolinao,Pangasinan,Mun
Bugallon,Pangasinan,Mun
Burgos,Pangasinan,Mun
Calasiao,Pangasinan,Mun
Dagupan,Pangasinan,ICC
Dasol,Pangasinan,Mun
Infanta,Pangasinan,Mun
Labrador,Pangasinan,Mun
Laoac,Pangasinan,Mun
Lingayen,Pangasinan,Mun
Mabini,Pangasinan,Mun
Malasiqui,Pangasinan,Mun
Manaoag,Pangasinan,Mun
Mangaldan,Pangasinan,Mun
Mangatarem,Pangasinan,Mun
Mapandan,Pangasinan,Mun
Natividad,Pangasinan,Mun
Pozorrubio,Pangasinan,Mun
Rosales,Pangasinan,Mun
San Carlos*,Pangasinan,CC
San Fabian,Pangasinan,Mun
San Jacinto,Pangasinan,Mun
San Manuel,Pangasinan,Mun
San Nicolas,Pangasinan,Mun
San Quintin,Pangasinan,Mun
Santa Barbara,Pangasinan,Mun
Santa Maria,Pangasinan,Mun
Santo Tomas,Pangasinan,Mun
Sison,Pangasinan,Mun
Sual,Pangasinan,Mun
Tayug,Pangasinan,Mun
Umingan,Pangasinan,Mun
Urbiztondo,Pangasinan,Mun
Urdaneta,Pangasinan,CC
Villasis,Pangasinan,Mun
Agdangan,Quezon,Mun
Alabat,Quezon,Mun
Atimonan,Quezon,Mun
Buenavista,Quezon,Mun
Burdeos,Quezon,Mun
Calauag,Quezon,Mun
Candelaria,Quezon,Mun
Catanauan,Quezon,Mun
Dolores,Quezon,Mun
General Luna,Quezon,Mun
General Nakar,Quezon,Mun
Guinayangan,Quezon,Mun
Gumaca,Quezon,Mun
Infanta,Quezon,Mun
Jomalig,Quezon,Mun
Lopez,Quezon,Mun
Lucban,Quezon,Mun
Lucena*,Quezon,HUC
Macalelon,Quezon,Mun
Mauban,Quezon,Mun
Mulanay,Quezon,Mun
Padre Burgos,Quezon,Mun
Pagbilao,Quezon,Mun
Panukulan,Quezon,Mun
Patnanungan,Quezon,Mun
Perez,Quezon,Mun
Pitogo,Quezon,Mun
Plaridel,Quezon,Mun
Polillo,Quezon,Mun
Quezon,Quezon,Mun
Real,Quezon,Mun
Sampaloc,Quezon,Mun
San Andres,Quezon,Mun
San Antonio,Quezon,Mun
San Francisco,Quezon,Mun
San Narciso,Quezon,Mun
Sariaya,Quezon,Mun
Tagkawayan,Quezon,Mun
Tayabas,Quezon,CC
Tiaong,Quezon,Mun
Unisan,Quezon,Mun
Aglipay,Quirino,Mun
Cabarroguis,Quirino,Mun
Diffun*,Quirino,Mun
Maddela,Quirino,Mun
Nagtipunan,Quirino,Mun
Saguday,Quirino,Mun
Angono,Rizal,Mun
Antipolo*,Rizal,CC
Baras,Rizal,Mun
Binangonan,Rizal,Mun
Cainta,Rizal,Mun
Cardona,Rizal,Mun
Jalajala,Rizal,Mun
Morong,Rizal,Mun
Pililla,Rizal,Mun
Rodriguez,Rizal,Mun
San Mateo,Rizal,Mun
Tanay,Rizal,Mun
Taytay,Rizal,Mun
Teresa,Rizal,Mun
Alcantara,Romblon,Mun
Banton,Romblon,Mun
Cajidiocan,Romblon,Mun
Calatrava,Romblon,Mun
Concepcion,Romblon,Mun
Corcuera,Romblon,Mun
Ferrol,Romblon,Mun
Looc,Romblon,Mun
Magdiwang,Romblon,Mun
Odiongan*,Romblon,Mun
Romblon,Romblon,Mun
San Agustin,Romblon,Mun
San Andres,Romblon,Mun
San Fernando,Romblon,Mun
San Jose,Romblon,Mun
Santa Fe,Romblon,Mun
Santa Maria,Romblon,Mun
Almagro,Samar,Mun
Basey,Samar,Mun
Calbayog*,Samar,CC
Calbiga,Samar,Mun
Catbalogan,Samar,CC
Daram,Samar,Mun
Gandara,Samar,Mun
Hinabangan,Samar,Mun
Jiabong,Samar,Mun
Marabut,Samar,Mun
Matuguinao,Samar,Mun
Motiong,Samar,Mun
Pagsanghan,Samar,Mun
Paranas,Samar,Mun
Pinabacdao,Samar,Mun
San Jorge,Samar,Mun
San Jose de Buan,Samar,Mun
San Sebastian,Samar,Mun
Santa Margarita,Samar,Mun
Santa Rita,Samar,Mun
Santo Niño,Samar,Mun
Tagapul-an,Samar,Mun
Talalora,Samar,Mun
Tarangnan,Samar,Mun
Villareal,Samar,Mun
Zumarraga,Samar,Mun
Alabel,Sarangani,Mun
Glan*,Sarangani,Mun
Kiamba,Sarangani,Mun
Maasim,Sarangani,Mun
Maitum,Sarangani,Mun
Malapatan,Sarangani,Mun
Malungon,Sarangani,Mun
Enrique Villanueva,Siquijor,Mun
Larena,Siquijor,Mun
Lazi,Siquijor,Mun
Maria,Siquijor,Mun
San Juan,Siquijor,Mun
Siquijor*,Siquijor,Mun
Barcelona,Sorsogon,Mun
Bulan,Sorsogon,Mun
Bulusan,Sorsogon,Mun
Casiguran,Sorsogon,Mun
Castilla,Sorsogon,Mun
Donsol,Sorsogon,Mun
Gubat,Sorsogon,Mun
Irosin,Sorsogon,Mun
Juban,Sorsogon,Mun
Magallanes,Sorsogon,Mun
Matnog,Sorsogon,Mun
Pilar,Sorsogon,Mun
Prieto Diaz,Sorsogon,Mun
Santa Magdalena,Sorsogon,Mun
Sorsogon City*,Sorsogon,CC
Banga,South Cotabato,Mun
General Santos*,South Cotabato,HUC
Koronadal,South Cotabato,CC
Lake Sebu,South Cotabato,Mun
Norala,South Cotabato,Mun
Polomolok,South Cotabato,Mun
Santo Niño,South Cotabato,Mun
Surallah,South Cotabato,Mun
T'Boli,South Cotabato,Mun
Tampakan,South Cotabato,Mun
Tantangan,South Cotabato,Mun
Tupi,South Cotabato,Mun
Anahawan,Southern Leyte,Mun
Bontoc,Southern Leyte,Mun
Hinunangan,Southern Leyte,Mun
Hinundayan,Southern Leyte,Mun
Libagon,Southern Leyte,Mun
Liloan,Southern Leyte,Mun
Limasawa,Southern Leyte,Mun
Maasin*,Southern Leyte,CC
Macrohon,Southern Leyte,Mun
Malitbog,Southern Leyte,Mun
Padre Burgos,Southern Leyte,Mun
Pintuyan,Southern Leyte,Mun
Saint Bernard,Southern Leyte,Mun
San Francisco,Southern Leyte,Mun
San Juan,Southern Leyte,Mun
San Ricardo,Southern Leyte,Mun
Silago,Southern Leyte,Mun
Sogod,Southern Leyte,Mun
Tomas Oppus,Southern Leyte,Mun
Bagumbayan,Sultan Kudarat,Mun
Columbio,Sultan Kudarat,Mun
Esperanza,Sultan Kudarat,Mun
Isulan,Sultan Kudarat,Mun
Kalamansig,Sultan Kudarat,Mun
Lambayong,Sultan Kudarat,Mun
Lebak,Sultan Kudarat,Mun
Lutayan,Sultan Kudarat,Mun
Palimbang,Sultan Kudarat,Mun
President Quirino,Sultan Kudarat,Mun
Senator Ninoy Aquino,Sultan Kudarat,Mun
Tacurong*,Sultan Kudarat,CC
Banguingui,Sulu,Mun
Hadji Panglima Tahil,Sulu,Mun
Indanan,Sulu,Mun
Jolo*,Sulu,Mun
Kalingalan Caluang,Sulu,Mun
Lugus,Sulu,Mun
Luuk,Sulu,Mun
Maimbung,Sulu,Mun
Omar,Sulu,Mun
Panamao,Sulu,Mun
Pandami,Sulu,Mun
Panglima Estino,Sulu,Mun
Pangutaran,Sulu,Mun
Parang,Sulu,Mun
Pata,Sulu,Mun
Patikul,Sulu,Mun
Siasi,Sulu,Mun
Talipao,Sulu,Mun
Tapul,Sulu,Mun
Alegria,Surigao del Norte,Mun
Bacuag,Surigao del Norte,Mun
Burgos,Surigao del Norte,Mun
Claver,Surigao del Norte,Mun
Dapa,Surigao del Norte,Mun
Del Carmen,Surigao del Norte,Mun
General Luna,Surigao del Norte,Mun
Gigaquit,Surigao del Norte,Mun
Mainit,Surigao del Norte,Mun
Malimono,Surigao del Norte,Mun
Pilar,Surigao del Norte,Mun
Placer,Surigao del Norte,Mun
San Benito,Surigao del Norte,Mun
San Francisco,Surigao del Norte,Mun
San Isidro,Surigao del Norte,Mun
Santa Monica,Surigao del Norte,Mun
Sison,Surigao del Norte,Mun
Socorro,Surigao del Norte,Mun
Surigao City*,Surigao del Norte,CC
Tagana-an,Surigao del Norte,Mun
Tubod,Surigao del Norte,Mun
Barobo,Surigao del Sur,Mun
Bayabas,Surigao del Sur,Mun
Bislig*,Surigao del Sur,CC
Cagwait,Surigao del Sur,Mun
Cantilan,Surigao del Sur,Mun
Carmen,Surigao del Sur,Mun
Carrascal,Surigao del Sur,Mun
Cortes,Surigao del Sur,Mun
Hinatuan,Surigao del Sur,Mun
Lanuza,Surigao del Sur,Mun
Lianga,Surigao del Sur,Mun
Lingig,Surigao del Sur,Mun
Madrid,Surigao del Sur,Mun
Marihatag,Surigao del Sur,Mun
San Agustin,Surigao del Sur,Mun
San Miguel,Surigao del Sur,Mun
Tagbina,Surigao del Sur,Mun
Tago,Surigao del Sur,Mun
Tandag,Surigao del Sur,CC
Anao,Tarlac,Mun
Bamban,Tarlac,Mun
Camiling,Tarlac,Mun
Capas,Tarlac,Mun
Concepcion,Tarlac,Mun
Gerona,Tarlac,Mun
La Paz,Tarlac,Mun
Mayantoc,Tarlac,Mun
Moncada,Tarlac,Mun
Paniqui,Tarlac,Mun
Pura,Tarlac,Mun
Ramos,Tarlac,Mun
San Clemente,Tarlac,Mun
San Jose,Tarlac,Mun
San Manuel,Tarlac,Mun
Santa Ignacia,Tarlac,Mun
Tarlac City*,Tarlac,CC
Victoria,Tarlac,Mun
Bongao*,Tawi-Tawi,Mun
Languyan,Tawi-Tawi,Mun
Mapun,Tawi-Tawi,Mun
Panglima Sugala,Tawi-Tawi,Mun
Sapa-Sapa,Tawi-Tawi,Mun
Sibutu,Tawi-Tawi,Mun
Simunul,Tawi-Tawi,Mun
Sitangkai,Tawi-Tawi,Mun
South Ubian,Tawi-Tawi,Mun
Tandubas,Tawi-Tawi,Mun
Turtle Islands,Tawi-Tawi,Mun
Botolan,Zambales,Mun
Cabangan,Zambales,Mun
Candelaria,Zambales,Mun
Castillejos,Zambales,Mun
Iba,Zambales,Mun
Masinloc,Zambales,Mun
Olongapo*,Zambales,HUC
Palauig,Zambales,Mun
San Antonio,Zambales,Mun
San Felipe,Zambales,Mun
San Marcelino,Zambales,Mun
San Narciso,Zambales,Mun
Santa Cruz,Zambales,Mun
Subic,Zambales,Mun
Baliguian,Zamboanga del Norte,Mun
Dapitan,Zamboanga del Norte,CC
Dipolog*,Zamboanga del Norte,CC
Godod,Zamboanga del Norte,Mun
Gutalac,Zamboanga del Norte,Mun
Jose Dalman,Zamboanga del Norte,Mun
Kalawit,Zamboanga del Norte,Mun
Katipunan,Zamboanga del Norte,Mun
La Libertad,Zamboanga del Norte,Mun
Labason,Zamboanga del Norte,Mun
Leon B. Postigo,Zamboanga del Norte,Mun
Liloy,Zamboanga del Norte,Mun
Manukan,Zamboanga del Norte,Mun
Mutia,Zamboanga del Norte,Mun
Piñan,Zamboanga del Norte,Mun
Polanco,Zamboanga del Norte,Mun
Rizal,Zamboanga del Norte,Mun
Roxas,Zamboanga del Norte,Mun
Salug,Zamboanga del Norte,Mun
Sergio Osmeña,Zamboanga del Norte,Mun
Siayan,Zamboanga del Norte,Mun
Sibuco,Zamboanga del Norte,Mun
Sibutad,Zamboanga del Norte,Mun
Sindangan,Zamboanga del Norte,Mun
Siocon,Zamboanga del Norte,Mun
Sirawai,Zamboanga del Norte,Mun
Tampilisan,Zamboanga del Norte,Mun
Aurora,Zamboanga del Sur,Mun
Bayog,Zamboanga del Sur,Mun
Dimataling,Zamboanga del Sur,Mun
Dinas,Zamboanga del Sur,Mun
Dumalinao,Zamboanga del Sur,Mun
Dumingag,Zamboanga del Sur,Mun
Guipos,Zamboanga del Sur,Mun
Josefina,Zamboanga del Sur,Mun
Kumalarang,Zamboanga del Sur,Mun
Labangan,Zamboanga del Sur,Mun
Lakewood,Zamboanga del Sur,Mun
Lapuyan,Zamboanga del Sur,Mun
Mahayag,Zamboanga del Sur,Mun
Margosatubig,Zamboanga del Sur,Mun
Midsalip,Zamboanga del Sur,Mun
Molave,Zamboanga del Sur,Mun
Pagadian,Zamboanga del Sur,CC
Pitogo,Zamboanga del Sur,Mun
Ramon Magsaysay,Zamboanga del Sur,Mun
San Miguel,Zamboanga del Sur,Mun
San Pablo,Zamboanga del Sur,Mun
Sominot,Zamboanga del Sur,Mun
Tabina,Zamboanga del Sur,Mun
Tambulig,Zamboanga del Sur,Mun
Tigbao,Zamboanga del Sur,Mun
Tukuran,Zamboanga del Sur,Mun
Vincenzo A. Sagun,Zamboanga del Sur,Mun
Zamboanga City*,Zamboanga del Sur,HUC
Alicia,Zamboanga Sibugay,Mun
Buug,Zamboanga Sibugay,Mun
Diplahan,Zamboanga Sibugay,Mun
Imelda,Zamboanga Sibugay,Mun
Ipil*,Zamboanga Sibugay,Mun
Kabasalan,Zamboanga Sibugay,Mun
Mabuhay,Zamboanga Sibugay,Mun
Malangas,Zamboanga Sibugay,Mun
Naga,Zamboanga Sibugay,Mun
Olutanga,Zamboanga Sibugay,Mun
Payao,Zamboanga Sibugay,Mun
Roseller Lim,Zamboanga Sibugay,Mun
Siay,Zamboanga Sibugay,Mun
Talusan,Zamboanga Sibugay,Mun
Titay,Zamboanga Sibugay,Mun
Tungawan,Zamboanga Sibugay,Mun
